[ROOT-INFO]: 2019-07-15 19:20:21,360: Testing Notes: Objective Distancing - Sentiment Sentence Level - rawScore * subjectivityOnly
[ROOT-INFO]: 2019-07-15 19:20:21,360: Objective Analysis Initialized
[REAPPRAISAL-INFO]: 2019-07-15 19:20:45,496: spaCy Library Loaded
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,496: Model Initialized
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,975: Old Score: 4.375, New Score: 1.640625
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,991: Old Score: 3.595744680851064, New Score: 1.558156028368794
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,008: Old Score: 4.770833333333333, New Score: 2.3854166666666665
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,024: Old Score: 5.0638297872340425, New Score: 0.05063829787234043
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,042: Old Score: 4.25531914893617, New Score: 4.25531914893617
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,109: Old Score: 5.021739130434782, New Score: 1.6739130434782608
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,128: Old Score: 4.065217391304348, New Score: 0.04065217391304348
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,146: Old Score: 3.404255319148936, New Score: 1.702127659574468
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,163: Old Score: 4.468085106382978, New Score: 2.234042553191489
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,181: Old Score: 5.0212765957446805, New Score: 0.05021276595744681
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,197: Old Score: 3.595744680851064, New Score: 0.03595744680851064
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,214: Old Score: 3.4255319148936163, New Score: 3.082978723404255
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,230: Old Score: 3.8125, New Score: 0.038125
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,249: Old Score: 3.9574468085106393, New Score: 1.5829787234042558
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,272: Old Score: 3.9787234042553186, New Score: 2.364498480243161
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,284: Old Score: 5.1875, New Score: 0.051875000000000004
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,289: Old Score: 4.0212765957446805, New Score: 1.5079787234042552
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,306: Old Score: 4.586956521739131, New Score: 0.9173913043478262
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,324: Old Score: 4.4375, New Score: 0.22187500000000002
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,340: Old Score: 4.446808510638298, New Score: 0.044468085106382976
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,362: Old Score: 4.3125, New Score: 0.043125000000000004
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,379: Old Score: 3.4255319148936163, New Score: 1.1418439716312054
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,382: Old Score: 3.127659574468085, New Score: 0.03127659574468085
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,400: Old Score: 3.042553191489361, New Score: 0.03042553191489361
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,418: Old Score: 4.127659574468085, New Score: 0.04127659574468085
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,450: Old Score: 4.369565217391305, New Score: 2.548913043478261
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,468: Old Score: 4.291666666666667, New Score: 2.1458333333333335
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,484: Old Score: 4.97872340425532, New Score: 0.049787234042553204
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,501: Old Score: 3.583333333333333, New Score: 0.03583333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,517: Old Score: 4.319148936170213, New Score: 0.043191489361702126
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,535: Old Score: 3.808510638297872, New Score: 0.03808510638297872
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,551: Old Score: 4.680851063829787, New Score: 0.04680851063829788
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,551: Old Score: 4.872340425531915, New Score: 0.04872340425531915
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,569: Old Score: 4.404255319148937, New Score: 0.044042553191489364
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,585: Old Score: 5.170212765957447, New Score: 0.05170212765957447
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,585: Old Score: 3.3617021276595747, New Score: 2.9881796690307327
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,607: Old Score: 4.148936170212766, New Score: 0.04148936170212766
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,616: Old Score: 5.723404255319148, New Score: 0.8585106382978722
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,629: Old Score: 5.553191489361702, New Score: 0.05553191489361702
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,630: Old Score: 4.212765957446808, New Score: 4.212765957446808
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,645: Old Score: 3.152173913043478, New Score: 0.03152173913043478
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,664: Old Score: 5.434782608695652, New Score: 0.05434782608695653
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,679: Old Score: 3.3260869565217392, New Score: 1.6630434782608696
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,697: Old Score: 3.9361702127659575, New Score: 0.039361702127659576
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,713: Old Score: 4.6382978723404245, New Score: 0.046382978723404245
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,747: Old Score: 5.659574468085108, New Score: 0.05659574468085108
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,764: Old Score: 5.326086956521738, New Score: 1.479468599033816
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,780: Old Score: 5.369565217391305, New Score: 0.5369565217391304
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,780: Old Score: 3.9787234042553186, New Score: 3.9787234042553186
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,798: Old Score: 4.0212765957446805, New Score: 2.4127659574468088
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,798: Old Score: 4.787234042553191, New Score: 1.4361702127659572
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,813: Old Score: 5.456521739130435, New Score: 2.7282608695652173
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,830: Old Score: 3.765957446808511, New Score: 1.711798839458414
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,830: Old Score: 3.9375, New Score: 2.4609375
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,846: Old Score: 5.108695652173913, New Score: 0.051086956521739134
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,863: Old Score: 3.9787234042553186, New Score: 0.03978723404255319
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,863: Old Score: 3.4782608695652173, New Score: 0.034782608695652174
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,882: Old Score: 4.958333333333333, New Score: 0.04958333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,898: Old Score: 5.125, New Score: 0.051250000000000004
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,916: Old Score: 3.020833333333333, New Score: 2.0138888888888884
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,934: Old Score: 3.872340425531915, New Score: 0.03872340425531915
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,950: Old Score: 4.829787234042553, New Score: 0.048297872340425534
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,968: Old Score: 4.914893617021278, New Score: 0.04914893617021278
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:46,984: Old Score: 3.75, New Score: 0.875
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,002: Old Score: 4.770833333333333, New Score: 3.3395833333333336
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,036: Old Score: 5.125, New Score: 0.051250000000000004
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,051: Old Score: 4.333333333333333, New Score: 0.04333333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,069: Old Score: 3.0638297872340425, New Score: 0.3829787234042553
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,085: Old Score: 4.553191489361702, New Score: 0.04553191489361702
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,106: Old Score: 3.5319148936170213, New Score: 0.03531914893617021
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,129: Old Score: 4.0, New Score: 2.1333333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,144: Old Score: 5.531914893617022, New Score: 0.055319148936170216
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,162: Old Score: 5.0625, New Score: 0.050625
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,178: Old Score: 4.6382978723404245, New Score: 0.046382978723404245
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,195: Old Score: 4.229166666666667, New Score: 1.5683159722222224
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,211: Old Score: 4.723404255319148, New Score: 3.6370212765957444
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,228: Old Score: 4.304347826086956, New Score: 2.943866459627329
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,228: Old Score: 4.297872340425532, New Score: 1.4326241134751774
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,243: Old Score: 5.604166666666668, New Score: 0.05604166666666668
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,243: Old Score: 3.9583333333333335, New Score: 0.03958333333333334
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,263: Old Score: 4.173913043478262, New Score: 0.9142857142857145
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,279: Old Score: 3.8541666666666665, New Score: 0.03854166666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,296: Old Score: 3.8936170212765964, New Score: 3.017553191489362
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,308: Old Score: 5.229166666666667, New Score: 0.052291666666666674
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,318: Old Score: 5.851063829787233, New Score: 1.1702127659574466
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,319: Old Score: 4.456521739130435, New Score: 0.22282608695652173
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,337: Old Score: 3.347826086956522, New Score: 0.9671497584541064
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,353: Old Score: 5.595744680851063, New Score: 0.055957446808510634
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,370: Old Score: 3.4791666666666665, New Score: 3.3631944444444444
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,371: Old Score: 4.340425531914893, New Score: 0.04340425531914893
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,388: Old Score: 4.574468085106383, New Score: 2.3329787234042554
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,405: Old Score: 5.866666666666666, New Score: 5.133333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,421: Old Score: 6.25531914893617, New Score: 0.0625531914893617
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,439: Old Score: 5.583333333333332, New Score: 0.7444444444444442
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,471: Old Score: 5.644444444444446, New Score: 1.2095238095238097
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,472: Old Score: 5.145833333333333, New Score: 0.05145833333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,505: Old Score: 4.108695652173913, New Score: 1.3695652173913042
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,505: Old Score: 3.9787234042553186, New Score: 0.03978723404255319
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,521: Old Score: 5.7659574468085095, New Score: 0.0576595744680851
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,537: Old Score: 5.291666666666667, New Score: 0.05291666666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,538: Old Score: 5.3617021276595755, New Score: 0.053617021276595754
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,555: Old Score: 4.425531914893617, New Score: 0.04425531914893617
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,555: Old Score: 5.489361702127661, New Score: 0.054893617021276604
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,572: Old Score: 3.6458333333333335, New Score: 0.036458333333333336
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,572: Old Score: 4.574468085106383, New Score: 2.859042553191489
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,603: Old Score: 3.739130434782609, New Score: 0.37391304347826093
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,612: Old Score: 2.8297872340425534, New Score: 0.028297872340425533
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,624: Old Score: 4.0, New Score: 1.2
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,630: Old Score: 5.127659574468085, New Score: 0.05127659574468085
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,648: Old Score: 3.9375, New Score: 0.039375
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,648: Old Score: 4.1875, New Score: 0.041875
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,664: Old Score: 3.739130434782609, New Score: 2.430434782608696
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,696: Old Score: 3.1063829787234036, New Score: 0.031063829787234036
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,730: Old Score: 3.787234042553192, New Score: 1.5148936170212768
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,747: Old Score: 4.208333333333333, New Score: 4.208333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,762: Old Score: 3.9583333333333335, New Score: 0.03958333333333334
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,780: Old Score: 4.48936170212766, New Score: 0.897872340425532
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,780: Old Score: 2.9791666666666665, New Score: 1.4895833333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,796: Old Score: 4.875, New Score: 0.04875
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,814: Old Score: 4.0212765957446805, New Score: 3.8202127659574465
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,830: Old Score: 3.872340425531915, New Score: 0.9922872340425531
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,830: Old Score: 3.851063829787234, New Score: 0.03851063829787234
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,847: Old Score: 6.085106382978723, New Score: 0.8789598108747045
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,862: Old Score: 4.666666666666667, New Score: 0.04666666666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,902: Old Score: 3.234042553191489, New Score: 1.7823167848699766
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,936: Old Score: 3.782608695652174, New Score: 2.5217391304347823
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,969: Old Score: 3.234042553191489, New Score: 0.8085106382978723
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:47,987: Old Score: 3.6170212765957452, New Score: 1.3865248226950355
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,020: Old Score: 3.914893617021277, New Score: 3.914893617021277
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,035: Old Score: 5.914893617021277, New Score: 0.059148936170212774
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,053: Old Score: 4.604166666666667, New Score: 0.04604166666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,070: Old Score: 4.630434782608695, New Score: 0.04630434782608695
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,070: Old Score: 4.787234042553191, New Score: 2.69281914893617
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,087: Old Score: 4.51063829787234, New Score: 4.51063829787234
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,103: Old Score: 4.319148936170213, New Score: 1.4397163120567376
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,115: Old Score: 3.8541666666666665, New Score: 1.5183080808080807
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,123: Old Score: 3.4444444444444446, New Score: 0.034444444444444444
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,128: Old Score: 4.3617021276595755, New Score: 1.4539007092198584
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,145: Old Score: 5.425531914893617, New Score: 0.05425531914893617
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,146: Old Score: 4.468085106382978, New Score: 0.04468085106382978
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,162: Old Score: 4.604166666666667, New Score: 1.6114583333333334
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,180: Old Score: 4.456521739130435, New Score: 0.7427536231884058
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,180: Old Score: 3.934782608695652, New Score: 1.967391304347826
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,195: Old Score: 4.829787234042553, New Score: 0.048297872340425534
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,212: Old Score: 3.7083333333333335, New Score: 1.9866071428571428
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,228: Old Score: 3.6595744680851054, New Score: 0.18297872340425528
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,228: Old Score: 3.5106382978723403, New Score: 0.035106382978723406
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,246: Old Score: 4.5625, New Score: 0.045625
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,262: Old Score: 3.8333333333333335, New Score: 1.3416666666666666
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,265: Old Score: 3.6666666666666665, New Score: 1.222222222222222
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,282: Old Score: 4.0625, New Score: 0.040625
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,298: Old Score: 3.8541666666666665, New Score: 0.03854166666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,298: Old Score: 4.872340425531915, New Score: 0.04872340425531915
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,315: Old Score: 3.914893617021277, New Score: 3.914893617021277
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,339: Old Score: 4.521739130434782, New Score: 2.260869565217391
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,352: Old Score: 4.0, New Score: 0.04
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,355: Old Score: 4.25, New Score: 1.275
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,371: Old Score: 3.4347826086956523, New Score: 1.7173913043478262
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,388: Old Score: 3.9574468085106393, New Score: 1.5829787234042558
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,388: Old Score: 3.4255319148936163, New Score: 2.8546099290780136
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,404: Old Score: 3.3829787234042548, New Score: 3.3829787234042548
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,404: Old Score: 4.541666666666667, New Score: 1.8166666666666669
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,422: Old Score: 4.085106382978723, New Score: 2.3343465045592704
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,422: Old Score: 3.4166666666666665, New Score: 3.0749999999999997
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,437: Old Score: 3.5416666666666665, New Score: 1.922619047619048
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,455: Old Score: 3.5319148936170213, New Score: 1.5599290780141843
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,471: Old Score: 5.1875, New Score: 0.051875000000000004
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,471: Old Score: 4.468085106382978, New Score: 0.04468085106382978
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,488: Old Score: 3.520833333333333, New Score: 1.4083333333333332
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,504: Old Score: 5.829787234042553, New Score: 0.05829787234042553
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,504: Old Score: 3.808510638297872, New Score: 1.904255319148936
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,521: Old Score: 4.74468085106383, New Score: 0.0474468085106383
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,521: Old Score: 3.3191489361702127, New Score: 3.3191489361702127
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,537: Old Score: 4.3125, New Score: 0.043125000000000004
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,554: Old Score: 4.895833333333333, New Score: 0.9791666666666665
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,570: Old Score: 3.7446808510638303, New Score: 1.6018912529550828
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,588: Old Score: 3.260869565217391, New Score: 1.6555183946488292
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,588: Old Score: 4.212765957446808, New Score: 1.404255319148936
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,614: Old Score: 3.978260869565217, New Score: 1.5913043478260869
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,626: Old Score: 3.8333333333333335, New Score: 0.03833333333333334
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,632: Old Score: 4.276595744680851, New Score: 0.04276595744680851
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,650: Old Score: 4.553191489361702, New Score: 0.04553191489361702
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,666: Old Score: 4.25531914893617, New Score: 1.9908814589665653
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,667: Old Score: 4.51063829787234, New Score: 0.0451063829787234
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,701: Old Score: 3.5531914893617023, New Score: 0.8882978723404256
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,718: Old Score: 5.1489361702127665, New Score: 0.051489361702127666
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,718: Old Score: 5.893617021276596, New Score: 0.05893617021276597
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,752: Old Score: 4.645833333333333, New Score: 1.9744791666666666
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,768: Old Score: 3.3043478260869565, New Score: 0.03304347826086956
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,785: Old Score: 5.520833333333332, New Score: 1.1501736111111107
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,785: Old Score: 3.6666666666666665, New Score: 2.3222222222222224
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,801: Old Score: 5.541666666666668, New Score: 0.05541666666666668
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,818: Old Score: 3.6170212765957452, New Score: 0.03617021276595745
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:48,834: Old Score: 4.673913043478262, New Score: 0.8179347826086958
