,Serial,Sentence,Objective Rating,Far Away Rating
11094,12136," I am looking at a serious looking portrait of a lost soul, someone without parents that were killed in a tragic accident perhaps, or even a future child.",1.0,3.0
2482,2483, A man is holding a knife to a woman's throat.,6.0,2.0
7330,7671,"A baby is sitting in an incubator, and a hand is touching it on the other side.",1.0,2.0
4845,5186, A man holds a short silver knife to a woman's throat.,7.0,2.5
4423,4764,"Roseann Cash, Mavis Staples, Lyle Lovett and the Righteous Brothers.",7.0,1.0
9257,9598, A couple are in a fight.,7.0,2.5
4226,4567, They have bags attached to their body.,7.0,1.0
7540,7881, They are swollen.,,1.0
9560,9901, there are three men all dressed in blue one has no shirt and is holding a gun two of them have chains .,6.0,2.5
6169,6510, There is a pink stuffed animals under his/her arm.,7.0,4.0
10230,10772,Ashley L: Do not judge the experience or the meditation as “good” or “bad”!  ,3.0,3.5
1039,1040, A woman is being held captive as a man threatens her with a knife to her throat.,5.5,3.0
1732,1733,And pass.,5.5,3.0
9421,9762,Cassini's sampling of the robust plume shows that its source — the subsurface ocean — possesses the basic requirements for sustaining microbial life.,6.5,2.5
695,696," Long time ago, far away, a woman probably passed out after overdosing on drugs/meds.",2.0,7.0
307,308, This is a nice picture of a chef holding a baby.,7.0,3.0
6768,7109, I feel really bad for the girl and wonder how sick she is and if she's going to get better soon.,3.0,1.0
3586,3587, There was a woman who was screaming at a man who looked like he wanted so badly to be out of the situation.,7.0,6.0
317,318, There is a woman looking away from the camera.,7.0,4.0
11815,12857, The same man from before appears to have slapped the same woman from before.,2.0,5.0
11062,12104, One person is holding a bat.,7.0,1.0
1484,1485, This is catastrophic.,2.5,4.5
1107,1108, It appears to be an aftermath from some war scene due to the shrapnel on his cheek and the absence of his nose.,4.0,4.5
10927,11469, Honestly looks like an alien of some kind or some propaganda the pro life movement would put out.,4.0,3.5
6216,6557, Aw a cute baby! She looks like she's having fun and is well taken care of like her parents love her.,1.0,4.0
11101,12143,"But according to Tinder, which looked at the profiles of its American users earlier this year, heterosexual men were three times more likely to use these phrases than heterosexual women.",4.0,3.0
9662,10003, It is also grasping it's caregiver's finger.,5.0,1.0
6094,6435, A man is at a hospital.,7.0,
6495,6836, The little girl is reading a book.,6.0,5.0
6736,7077, It seems to have undergone a lot of trauma.,2.0,3.0
11456,12498, A man has had his face bashed in.,3.0,1.0
1082,1083, She is able to lift herself up on her arms from her tummy.,5.5,3.5
5067,5408, This individual has been tortured or hurt and is covered in blood.,5.5,5.0
11495,12537, He is standing in front of a blank brown background.,7.0,5.0
10986,12028, A kid has their right eye covered.,6.0,1.0
4495,4836, Man's right side of his face is disfigured.,7.0,1.0
7670,8011, People are in a truck bed.,6.0,2.0
2909,2910, his hair is reddish and he is wearing a black shirt.,6.5,2.0
9509,9850, a baby is sitting in a yellow chair.,7.0,2.0
9450,9791, The man is looking away possibly trying to.,2.5,2.0
10012,10554, He appears to be grabbing a pole above his bed.,4.5,2.5
11479,12521," Two men, on the older side are sitting and talking to each other, one looks somber looking into the distance the other is facing the somber one/ They are in a nice green field by trees.",6.0,5.0
1190,1191," physical trauma from a long time ago, the man looks to be emotionally hurt as well.",4.0,5.5
10276,10818, There is an adorable baby girl who has a cute little thing around her head and her mouth is open.,1.5,3.0
11309,12351, She wants his attention.,5.0,1.0
297,298,"I move my body because I know it helps with my anxiety, I know it helps to clear my mind, I know it's essential for my well-being.",7.0,3.0
7242,7583, the duck tape man see.,2.0,1.0
3786,4127, The little boy has a beanie and small red and white jacket.,6.0,3.0
10374,10916, It is struggling to live.,1.0,3.5
11936,12978, There is a purple/pink blanket on its head as it poses for the camera.,6.0,6.0
506,507, Had boils over his face.,3.5,3.5
8740,9081, The baby's mouth is open when this picture was taken.,5.0,4.5
11131,12173, He is threatening to shoot and has a mean look in his eyes.,2.0,1.0
5114,5455," He looks on the older side, and it looks like a nice day outside.",5.0,1.5
11997,13039," Long time ago, far away, a human being lied on the ground, could see its inner organs .",4.5,4.0
5632,5973,"A police officer is grabbing a man, who is screaming while down on the ground of the police car.",4.0,2.0
592,593,"I attend therapy every week, pop a little blue pill every morning and, just as importantly, I lean heavily on my pulse checkers.",1.5,1.0
4285,4626, the baby is only wearing diapers.,7.0,1.0
2839,2840, He's laying with his head under .,6.0,2.5
10487,11029,Her social media presence still doesn’t fully cover her bills and living expenses.,7.0,3.5
2998,2999, it looks like they are outside.,5.0,2.0
2758,2759, I am relieved the photo is not a gory one.,2.0,2.5
5017,5358, A girl looks on with a lot of hair in front of her face.,7.0,2.5
2726,2727,A decapitated hand.,6.5,2.0
2853,2854, People are in a strawberry field.,6.5,2.5
5380,5721," the skin is very pale, teeth are exposed, face is bloody, light background.",3.0,2.0
4553,4894, A man trying to hold a woman by the neck and she is refusing.,5.0,1.0
3252,3253, Looks like he's about to heat it up.,2.5,1.5
1127,1128, the person looks like they are lying in a hospital bed.,5.5,4.0
4137,4478, A man stands on an assembly line surveying the products while another individual seems to be running the assembly line.,5.0,2.0
7266,7607, there is a baby on some bedsheets and she is surprised by something.,4.0,1.0
10174,10716, They are having a good laugh in front of the camera.,3.5,3.0
3490,3491, It seems to go deep and has split some of the face off.,6.0,2.5
6651,6992, the knife is small but sharp.,4.0,5.0
7096,7437,Suddenly the oddly haphazard nature of the posts I was seeing made sense.,2.0,5.0
6018,6359, A man in a cowboy hat sits on a stage and plays a guitar with a microphone in front of him.,7.0,
2253,2254, There were two people who looked very disinterested and bored while sitting on a green couch somewhere.,5.0,3.0
491,492, There is a baby smiling to something off camera.,7.0,2.0
7821,8162, He looks young and seems to be pulling the trigger at any moment.,2.0,3.0
1813,1814, there are hands holding the face.,6.5,2.5
577,578, There are people are in a field.,4.0,3.0
2837,2838," Just seems like a standard workplace setting, but very dated.",3.0,2.5
7443,7784, A prisoner with duct tape bound around his mouth and head is standing clos.,4.0,1.0
968,969, Someone's face is severely messed up and I am very shocked and terrified and uneasy.,1.0,1.0
2026,2027,"It was an epic turnaround, but it wasn’t really the Patriots that made it happen.",4.0,3.0
7887,8228, It is pretty disturbing to look at because this person must have suffered a lot.,2.0,3.0
8807,9148, He's wearing a navy blue jacket over a white polo.,6.0,3.0
5918,6259, a man is staring past the camera at something.,7.0,
8289,8630, A man is sitting in a hospital bed with no shirt.,7.0,1.6666666666666667
6743,7084, Woman looks angry and holding a guy's shirt.,5.0,4.0
3239,3240,a man has his hands pointed at this woman who does not want to hear it.,5.0,2.0
5031,5372, The armed man is fully protected.,4.0,3.0
7439,7780,Man is questioning woman.,7.0,1.0
4748,5089, The rest of the house in the background looks destroyed.,6.0,1.5
7655,7996,"As Neil Postman noted in his 1985 book Amusing Ourselves to Death, the rise of television introduced not just a new medium but a new discourse: a gradual shift from a typographic culture to a photographic one, which in turn meant a shift from rationality to emotions, exposition to entertainment.",,6.0
4018,4359, they appear to be in pain.,1.0,1.0
11849,12891," A gun is in front, seems like these people are kept hostage.",4.0,5.0
7969,8310, She looks like she might have been out running.,3.0,4.0
10812,11354, A woman is pointing at a man.,7.0,3.5
6227,6568,"The restaurant’s phone rang off the hook, with people calling and screaming at the hosts.",3.0,5.0
8439,8780, Blood and bruising on face.,7.0,2.6666666666666665
7585,7926,He says he also has to spend a lot on transportation (to brand events) and on maintaining his website.,,2.0
2381,2382, They are lying down on a white cloth.,6.0,3.0
1974,1975, This man is a veteran and it appears to be snowing outside.,5.5,2.5
8718,9059," A man is comforting a baby or toddler, I feel a little bad for the baby as they seem sick or injured but I feel hopeful from the man comforting them.",3.0,4.0
9202,9543,This is a grotesque image of a hand somewhere far away from me and in the past.,3.5,7.0
5029,5370," A mom hugging her kid, the kid had tears in his eyes.",6.5,3.0
9348,9689, The man slapped the woman.,6.5,4.0
3305,3306, There is a mutilated hand in the picture.,6.5,4.5
6806,7147," A little girl dressed in pink is distraught, she is crying or screaming as she watches a man who is collapsed on the ground.",5.0,2.0
9353,9694,Woman is bleeding from a nose injury and gash on forehead.,4.5,2.5
3788,4129, I still think I feel neutral though.,1.0,3.0
3851,4192, She is playing with her nails.,3.0,2.0
3431,3432, There are people in a courtroom and there is a man trying to scream at someone but he has his face taped up so he cant talk.,5.5,2.5
1818,1819, Young boy pointing a gun at the screen.,6.5,2.0
6713,7054,"The best ingredients still make the best pizza every time.
",2.0,3.0
1227,1228, Either a baby or a doll has been uncovered.,5.0,4.0
11349,12391," I can't tell if this is mother and son or a couple! Not bad, it happens to all of us.",2.0,2.0
4486,4827," The man has on an odd outfit, it doesn't seem to fit right.",2.0,1.0
6499,6840, They look like the quarrel.,2.0,5.0
4306,4647, the man is killing a tiger.,7.0,1.0
7837,8178, There is a lot of swelling .,4.0,2.0
6390,6731, It appears to be a dead body.,2.0,5.0
3596,3597, A man points a little girl towards two people who are restrained on the ground.,6.0,2.0
6728,7069,there is a police officer.,7.0,1.0
101,102, Half his face is missing and bloodied.,7.0,1.0
5713,6054, this is a man sitting on a chair on a small stage playing a guitar.,7.0,
11724,12766,It was the first running I’d done all of my own accord.,5.0,2.0
7517,7858, She/he may be struggling to live.,,1.0
7466,7807, A body is being uncovered or buried.,6.0,1.0
8562,8903, There are a lot of children and adults picking blueberries from bushes.,6.0,2.3333333333333335
1310,1311, A man who has been severely beaten is lying down on white sheets.,4.5,4.5
11593,12635," she is blonde and pretty and she's smiling but kind of artificially, like a posed smile.",2.0,5.0
11080,12122, There is a guy wearing a white mask and holding a pistol.,6.0,1.0
1664,1665, A happy baby is lying on a blue pillow.,2.5,1.5
10607,11149,there is a woman on the beach in a denim shirt smiling .,6.5,4.5
8914,9255, He is about to speak.,4.0,2.0
3390,3391, A dead woman with horrible injuries.,5.5,2.0
8534,8875, I don't know what it is or what could've done this to a person.,2.6666666666666665,3.0
7167,7508, oh no! this is very very depressing.,6.0,1.0
3039,3040, I don't wanna look.,2.0,1.0
2048,2049," He looks apprehensive, and maybe judgmental.",2.0,3.0
7706,8047, This is a picture of a dude whose neck has been severely lacerated.,4.0,2.0
7414,7755, She looks happy and maybe a bit amazed by something.,2.0,2.0
6993,7334,There’s just surrendering to the discipline of the practice.,3.0,3.0
4369,4710, The girl is shot on the face and her face is disassembled.,7.0,1.0
6043,6384, The person is covered in fire.,7.0,
8184,8525, A man is being duct-taped and interrogated in violent manner by his surrounding office.,4.666666666666667,2.6666666666666665
5087,5428, Baby is under pink blanket.,7.0,3.5
10046,10588, bloody brutalized hand  held over a bucket .,3.5,2.0
3946,4287, Each person has at least one hand tied up in the air.,6.0,2.0
5009,5350, The boy is smiling and being cute.,4.0,1.5
3872,4213, the man has his hand over her mouth.,7.0,1.0
5378,5719," Man has severe burning, but doesn't currently look like he's in pain.",4.0,1.0
4192,4533, There was a woman who was trying to explain something to the dense looking man in front of her.,4.0,3.0
11317,12359, Maybe because he is Latino.,1.0,1.0
11977,13019, I cannot tell where she is.,3.5,2.0
10590,11132, This blurry photo was taken years ago and in a city that's not near where I am.,6.0,6.0
2823,2824, This is a child clearly going through pain.,3.5,3.0
4522,4863, there is a happy baby that is looking straight at the camera .,3.0,1.0
10612,11154, There is an old man in a judge robe in the photo that has a gavel in hand.,7.0,3.5
7916,8257, I cant see what's behind it.,7.0,1.0
803,804," A woman seems bored and is placing her hands on her face, while another guy next to her is lounging on the couch also looking bored.",2.0,1.0
11611,12653, the man had a watch on.,7.0,5.0
3300,3301, She is holding a graded paper.,7.0,2.0
5141,5482, There is a woman who looks like she is on the phone.,5.0,1.5
2151,2152, I feel pretty neutral towards this image.,5.0,3.0
10601,11143,"a young man lies on his back a window in his pajamas on a snowy day, sleeping or very relaxed hands .",5.5,3.5
8875,9216, There is a lot of connective tissue.,2.0,1.0
12000,13042,"When I discussed the matter with a film-historian friend, he passed on this amazing story out of India.",5.0,4.5
2161,2162," A man is lying on some sheets, gravely wounded.",5.0,3.0
5052,5393, His hair is matted with blood.,6.5,2.0
11644,12686," woman looks super angry, and guy just doesn't know how to react .",2.0,5.0
10324,10866," I feel sorry for them, that they're fighting.",2.5,3.5
10972,12014, There's a baby seat at the table behind her.,6.0,1.0
11733,12775,The idea behind Wikipedia—like all encyclopedias before it—has been to collect the entirety of human knowledge.,3.0,7.0
1689,1690, the person had long fingernails a long time ago.,3.5,4.0
3363,3364, They're holding hands and its adorable.,2.5,1.5
9325,9666, The face is very gruesome.,2.5,2.0
2083,2084, Someone else is holding his bloody face.,5.0,3.0
10353,10895, There is a knife.,6.5,2.5
4661,5002, Makes me wonder how this happened.,3.5,1.5
10683,11225, Who is he? I wonder who he is? he makes me feel oddly calm and idk why.,3.0,2.5
6428,6769, He seems relatively content and is looking away at something .,3.0,5.0
4545,4886, they are in a dimly lit room.,6.0,1.0
1367,1368,"the couple is arguing with each other, with their child stuck in the middle.",5.0,2.5
9043,9384, They look happy and enjoying their life so I'm happy.,6.0,7.0
7872,8213,"That statement seems arguable, as well as the suggestion that cramping or bloating would be “Weird and Shocking” to anyone with a menstrual cycle.",3.0,6.0
3779,4120, the man is holding his gun towards somewhere.,5.0,2.0
8437,8778," Two police officers, one arresting a man and the other standing next to a woman holding a kid.",7.0,2.6666666666666665
11122,12164, She doesn't look happy or sad.,3.0,1.0
11483,12525, A well dressed lady has a paper on the podium beside her.,3.0,4.0
5462,5803," a body is on a blue/green tarp, possibly in a hospital.",2.0,3.0
5191,5532," Not too sad, but maybe slightly sad.",2.0,2.0
6347,6688, it looks like Texas in the 80s .,2.0,5.0
528,529, A man is causing distress to a woman.,1.5,2.5
9671,10012, I'm guessing she's dead based on the image.,3.5,2.0
11646,12688,"The GLO is saying our ancestors are not equally deserving protection under the law,” adds Vasquez.",6.0,3.0
8801,9142, A happy couple stand next to each other and both wave to the camera.,5.0,3.0
11746,12788, there is a woman in the background out of focus who looks very angry.,4.0,5.0
3338,3339, Woman with very bad bruises on her face is in the photo.,5.5,5.0
1417,1418, The other man was torturing him.,4.5,2.5
2584,2585, A woman is looking into the screen and her hands are over her head.,6.0,3.0
10700,11242,"An old man looking outside of the window, seems to feel blue.",5.5,4.5
10307,10849,"With such pressures all around, is it any wonder that the fate of our brick-and-mortar purveyors of art, music and literature triggers the pain from an old wound?
",2.0,2.0
6065,6406," somewhere in the world, someplace in time, a stock image of a drug overdose is taken.",7.0,
4539,4880, there is an adult man holding him back.,7.0,1.0
6238,6579, He looks very tired and unhappy.,2.0,5.0
2958,2959, There is a doctor who is female and looking at some sort of electric device.,6.5,1.5
4315,4656,ah there's an old picture of a kid in the 80s who was in a car crash or something and was in the hospital but now he's recovered and got treatment.,5.0,6.0
1246,1247, He has long brown hair .,5.0,3.5
6063,6404, He doesn't seem to be pointing the gun.,4.0,
497,498,"The surveillance dystopia is on the horizon, and companies like Microsoft and Amazon are helping build it.",7.0,3.0
2763,2764,"Women, too, need a convenient place to stash keys, wallets and phones without having to lug a purse on a hike or into a meeting.",4.0,2.5
5790,6131,Why would any media startup think this is a solution to anything?,1.0,
10380,10922," she is looking ahead, she stands in front of a tile wall, she is wearing a dress.",4.5,2.5
7150,7491,This is an image of a young baby.,6.0,1.0
5904,6245, a baby has her mouth open.,7.0,
1378,1379, a man is gazing into the camera.,6.5,4.0
1802,1803, There is an old man who has a pot in his hand with some kind of soup in it and he has the lid to the pot in his other hand.,5.5,2.0
10807,11349,"In Sweden, a teenage girl named Greta Thunberg observed the actions of the Parkland students and took an action of her own: deciding to skip school every Friday in order to lobby the Swedish government into action on climate change.",6.0,5.0
6634,6975, There was a group of men held captive with their wrists tied.,5.0,5.0
6995,7336,"The director created a space and environment to stage battle games, like bulldog, for the extras and 60 stunt performers in what was a largely safe environment (but a few real punches were thrown).",4.0,6.0
7771,8112,A baby girl is in a container at a hospital (probably).,3.0,4.0
7149,7490, The other man is in a defensive position with his hand pushing .,3.0,3.0
2571,2572, There was a man pointing a gun very close to the camera.,6.5,2.0
1238,1239, This makes me fee; warm and reminds me of my childhood splashing around in the pool with my friends.,3.5,5.0
11945,12987, I feel very nervous and upset when look at this image.,1.0,2.0
4012,4353, They look like victims of some terrible abuse.,3.0,4.0
2484,2485,This sort of cultural loss isn’t simply an American problem.,4.0,2.0
8570,8911, there is a man who has his face partially blown off and he is laying on the bed.,6.666666666666667,1.6666666666666667
6741,7082, They look blistered.,5.0,2.0
11116,12158, This is a pretty scary photo of something that looks like a body but is so badly mutilated and bloodied that I can't really recognize it.,3.0,4.0
12020,13062, His eyes express malicious intent.,4.0,2.5
10029,10571, There is a professor with someone's paper.,6.0,2.5
5401,5742, The girl looks Asian but her face is not seen.,3.0,2.0
10674,11216,What he discovered was happy families eating lunch.,5.0,4.0
294,295, That is such a cute baby.,4.0,2.0
8764,9105, There are people who are tied up to a truck.,4.0,2.0
11316,12358," A man on a subway is holding a gun up to the head of another man, whose pushing the hand off.",4.0,1.0
5298,5639," We cannot see the person's body or face, so we don't know if he is attacking someone or defending himself or stabbing something besides a human.",4.0,1.0
2862,2863, it looks like a school.,4.5,1.5
8415,8756, there is a crazy man with his mouth taped shut in court he has on glasses .,4.333333333333333,1.6666666666666667
2694,2695, Another cute baby!.,3.0,2.0
1110,1111, there is a dentist working on a little boys teeth he doesn't seem to be enjoying it .,4.0,3.0
10171,10713, I feel bad.,1.0,2.5
3246,3247, This woman seems so content and I feel pretty content looking at her.,2.0,1.5
7922,8263," The picture looks older and less clear but they are smiling and having fun, bright colors and excitement.",3.0,4.0
10788,11330, There is a lady yelling at a guy while gripping the collar of his clothes.,4.0,3.5
2013,2014, I feel a bit uneasy since it doesn't seem like quite a genuine smile and he seems to be looking down.,4.0,3.0
2829,2830, an old looking picture of three old white haired men in tuxes.,5.0,4.5
468,469," He is older, and is probably expecting guests.",7.0,1.0
75,76,"Again, that's a stunning 99 percent chance to win based on the score, along with the fact that the Falcons had the ball with almost a sure field goal.",5.0,4.0
9066,9407, The young child in the middle covers his ears.,6.0,3.0
9171,9512, there is a boy and mother the boy is being held by the mother .,4.5,2.0
6813,7154,"baby playing with adult finger, white baby blue eye, some blond hair, baby fat on arms, cute, naked, laying on towels, can see lace on the left.",7.0,5.0
6857,7198," In a photo from a long time ago, a couple are pictured sitting on a bed, but they aren't facing one another and seem to be upset.",6.0,5.0
7012,7353, Seems like a good time .,3.0,2.0
1751,1752, This is a photo of a man with a gun to his head.,6.5,2.5
5574,5915," In a place hundreds of miles away, a man crouched on the ground while holding a gun.",3.0,6.0
10214,10756," There is a baby sitting in a chair that seems very upset and is looking off into the distance, about to cry.",3.5,4.0
11065,12107, a couple is sitting on a bed with crossed arms.,5.0,2.0
2967,2968,"The man looks like he is taking a nap, but I'm not sure how comfortable he is sleeping on the wood bench.",3.0,3.0
2678,2679," He looks to be in terrible condition, probably from a fire accident and .",2.5,3.0
8165,8506," There is a woman, She is on the phone.",7.0,1.6666666666666667
8632,8973, I really don't know what to say because idk what it is.,2.6666666666666665,2.0
3394,3395, she is in front of a computer and in front of a filing cabinet.,6.0,2.0
2887,2888, There is a woman with a small child in her arms.,6.5,2.5
6935,7276,A chance to look closer at whatever we perceive as boring about our circumstances.,3.0,6.0
7658,7999, They are white and look unphased and unbothered.,,1.0
3487,3488, There is a body that is charred.,6.5,2.0
3932,4273,A guy is sleeping on a bench by a window.,6.0,3.0
10061,10603, The man has his arms crossed and is staring downwards.,5.0,2.0
10105,10647, Looks like a chemical burn.,3.5,1.5
10833,11375,"The idea is that “If I can do it, so can you.",5.0,2.5
4044,4385, A woman (mom?) is scolding a young boy who his hiding in a wardrobe.,2.0,1.0
864,865, They are both young boys.,4.5,1.0
4533,4874, Her forehead is practically missing.,6.0,1.0
177,178," this lady is screaming in the back with her hands up, while her man is looking moody at the front with his arms crossed.",5.0,1.0
922,923,"Aw, just a sweet old man looking at the weather outside, he might be looking for the mailman or something.",2.0,1.0
4676,5017, There is a lot of blood.,6.5,3.0
9072,9413, There is a man strangling a woman and his other hand looks like its about to backhand slap her.,5.0,3.0
4618,4959, Her clothes have a lot of ruffles and look knit.,5.0,1.0
2235,2236, I thought there was an orange peel on her wrist but I think that's a bracelet.,4.0,2.0
7587,7928, Mom scolding a son.,,1.0
