Serial,Text Response,OBJECTIVE RATING_1,FAR RATING_1,OBJECTIVE RATING_2,FAR RATING_2,OBJECTIVE RATING_3,FAR RATING_3,OBJECTIVE RATING_4,FAR RATING_4,OBJECTIVE RATING_5,FAR RATING_5,OBJECTIVE RATING_6,FAR RATING_6,OBJECTIVE RATING_7,FAR RATING_7,OBJECTIVE RATING_8,FAR RATING_8,,,AVG_OBJ,AVG_FAR
19, The woman is grabbing the man and looking angrily towards him.,4,3,3,1,4,1,7,1,,,,,,,,,,,4.5,1.5
20, a very bloody picture from the 90s medical textbook or something of someone who was in a car accident or something.,6,6,3,6,5,6,3,6,,,,,,,,,,,4.25,6
21," There are a group of men who are engaged at a car, with weapons such as a baseball bat, and pistol.",5,3,3,7,6,2,7,1,,,,,,,,,,,5.25,3.25
22, The skin has been burned through this person.,7,1,5,2,6,1,7,1,,,,,,,,,,,6.25,1.25
23, her nails look cute.,1,1,6,1,2,1,1,1,,,,,,,,,,,2.5,1
24, There is a man staring directly into the camera.,7,2,1,3,6,3,7,1,,,,,,,,,,,5.25,2.25
25," white man working outside shop, food store, cutting meat? different language, Italian I think, .",5,3,6,3,3,3,2,2,,,,,,,,,,,4,2.75
26,"there is a man looking ahead, he is smiling.",7,3,7,1,5,2,7,1,,,,,,,,,,,6.5,1.75
27, A woman is holding a man's face that has been affected by a gunshot wound.,7,2,5,1,6,2,7,1,,,,,,,,,,,6.25,1.5
28, A man is threatening another man and this image makes me feel worried for the threatened person.,4,2,4,2,3,4,1,1,,,,,,,,,,,3,2.25
29, I would love to just curl up on that window on a snowy day as shown and read a book or drink hot chocolate.,3,3,2,3,3,3,1,3,,,,,,,,,,,2.25,3
30, his eyes are open and he looks conscious.,7,1,7,1,7,1,6,1,,,,,,,,,,,6.75,1
31, I just want to pinch its little cheeks.,4,1,3,2,2,1,1,1,,,,,,,,,,,2.5,1.25
32,A baby is deformed after birth.,7,1,2,2,5,3,2,1,,,,,,,,,,,4,1.75
33,"Acknowledging my passive suicidal ideation didn’t give it more life; it gave me more life, empowering me to dig into the emotional dirty work.",3,1,3,3,1,3,1,1,,,,,,,,,,,2,2
34, One eye is gone and their mouth and nose skin have burnt.,7,2,6,3,7,1,7,1,,,,,,,,,,,6.75,1.75
35, It seems like the man is offended or wary of the woman and the lady almost has a smile.,1,4,4,4,2,4,3,4,,,,,,,,,,,2.5,4
36,"Someone's head is badly injured, probably about to head into surgery, the eyes could barely open.",6,3,3,4,4,1,3,1,,,,,,,,,,,4,2.25
37, His face is not visible.,7,1,4,2,7,2,7,1,,,,,,,,,,,6.25,1.5
38, and the baby has a cute expression .,2,2,3,3,3,1,1,1,,,,,,,,,,,2.25,1.75
39," In another country, there's something that I'm not sure if is completely human, but has a human-like face, that's white and covered in blood with a badly misshaped nose, eye.",4,7,2,3,4,3,2,6,,,,,,,,,,,3,4.75
40, A woman cried as another woman helped her in a country far from here many years ago.,6,7,6,7,6,7,7,7,,,,,,,,,,,6.25,7
41, The hand is holding a knife.,7,1,6,7,7,1,7,1,,,,,,,,,,,6.75,2.5
42,"Rather, The Mission Heritage Tours seek to tell the untold story.",5,4,5,2,4,4,7,1,,,,,,,,,,,5.25,2.75
43," There is a severely wounded hand in this photo, it seems practically blown apart.",5,4,4,4,4,4,4,1,,,,,,,,,,,4.25,3.25
44, Several men are shown in what appears to be the back of a truck; they are all wearing hats and their hands are bound above their heads to the side of the truck.,7,4,5,4,6,2,3,1,,,,,,,,,,,5.25,2.75
45,There is a man telling a woman something but she does not want to hear it.,5,3,4,5,5,3,5,1,,,,,,,,,,,4.75,3
46," Unlike the other picture, this woman has the gun raised and aimed.",7,5,7,3,7,3,7,1,,,,,,,,,,,7,3
47, There is a judge that seems disappointed with a situation.,1,2,3,5,3,4,1,1,,,,,,,,,,,2,3
48, a picture from a hospital in the 90's where a man has his arms up and is attached to a drip.,7,7,2,3,7,4,7,6,,,,,,,,,,,5.75,5
49, A stern faced man wearing a hat is crossing his arms and looking at the camera.,4,2,5,5,5,3,7,1,,,,,,,,,,,5.25,2.75
50, It seems like it is a rather sinister mask and could potentially be for a bank robbery.,5,3,4,3,3,1,4,1,,,,,,,,,,,4,2
51, Is SVR the soviet union? Is this a soldier? .,3,7,3,2,4,1,1,1,,,,,,,,,,,2.75,2.75
52, he is wearing a shirt with a plaid collar .,7,2,7,3,7,1,7,1,,,,,,,,,,,7,1.75
53, there is a chef holding a baby.,7,1,5,4,7,1,7,1,,,,,,,,,,,6.5,1.75
54, A burned kid with a lot of injuries and blood on his body laying on a bed.,7,2,6,2,6,1,7,1,,,,,,,,,,,6.5,1.5
55, Looks to be a police photograph.,4,4,2,1,3,3,3,1,,,,,,,,,,,3,2.25
56, A child and a woman are looking up at something and both seem interested.,4,2,3,3,3,2,5,1,,,,,,,,,,,3.75,2
57," If this is a person, what happened to them? Can barely make out their features, but I can't judge .",3,3,2,3,2,2,1,1,,,,,,,,,,,2,2.25
58, The man seems to be shouting or something.,5,2,2,2,3,2,3,1,,,,,,,,,,,3.25,1.75
59, he has a dark shirt.,7,1,3,3,6,2,7,1,,,,,,,,,,,5.75,1.75
60, She has a notebook in front of her and is wearing a large suit with pearls.,7,2,3,3,7,1,7,1,,,,,,,,,,,6,1.75
61," he has brown hair, tan, shirt dark.",7,1,5,3,6,2,7,1,,,,,,,,,,,6.25,1.75
62, The man is hot and has a violin that he wants to play for the ground.,5,1,4,4,2,1,2,1,,,,,,,,,,,3.25,1.75
63, A person is holding a gun towards the camera somewhere very far away from me with two other people on either side of the person holding the gun.,7,7,2,7,6,7,7,7,,,,,,,,,,,5.5,7
64, The man looks like he spotted someone he knew far off in the distance.,3,7,5,7,2,7,2,7,,,,,,,,,,,3,7
65, There was a man who just finished punching a woman in the face it looks like and the woman recoiled back because .,4,6,3,6,3,6,6,7,,,,,,,,,,,4,6.25
66," a long time ago, a man grabbed a woman by her neck as she resisted and grabbed his arm to pull away.",7,7,6,7,6,7,7,7,,,,,,,,,,,6.5,7
67, Guy on couch is having a chill time .,5,2,6,7,5,3,5,1,,,,,,,,,,,5.25,3.25
68,Historic evidence is shelved.,7,1,3,5,6,4,7,1,,,,,,,,,,,5.75,2.75
69," He is young in age so this cant happen to you now at this day and age, he probably spilled something or hid bc he knew he was in trouble.",5,6,3,7,2,6,2,6,,,,,,,,,,,3,6.25
70, This took place in a location far away and occurred a long time ago.,7,7,6,7,6,7,7,7,,,,,,,,,,,6.5,7
71,Gui estimates that she spends around three to four hours on Instagram per day on average.,7,3,3,7,6,2,7,1,,,,,,,,,,,5.75,3.25
72," In a different country, there is a man pictured in a hospital with his chest exposed and his mouth and nose strapped into a breathing machine.",7,7,5,3,6,4,7,6,,,,,,,,,,,6.25,5
73, This is an image of a teacher who is in the middle of saying something.,7,1,6,7,5,4,7,1,,,,,,,,,,,6.25,3.25
74, There are three men all standing in black and white tuxedos.,7,1,6,5,7,1,7,1,,,,,,,,,,,6.75,2
75,There are many terrible examples of this.,1,4,6,3,4,3,1,1,,,,,,,,,,,3,2.75
76,"Again, that's a stunning 99 percent chance to win based on the score, along with the fact that the Falcons had the ball with almost a sure field goal.",3,6,2,6,3,6,2,6,,,,,,,,,,,2.5,6
77, an old picture from a medical textbook showing someone who has had their neck cut.,7,5,2,5,6,5,7,5,,,,,,,,,,,5.5,5
78,"We know our customers, and we know each other.",3,4,6,3,4,3,1,1,,,,,,,,,,,3.5,2.75
79," there is an old man with swollen and potentially infected skin below his eyes/eyebag area, his eyes are teary .",7,1,2,3,6,2,5,1,,,,,,,,,,,5,1.75
80," like yesterday, I feel intimidated and awkward by the guy with pretty eyes staring me in the face.",3,3,3,2,1,3,2,1,,,,,,,,,,,2.25,2.25
81,"The GLO, is discounting people because they are indigenous to Texas, materially less off, or because they couldn’t place a granite monument up that would last 300 years.",7,2,3,5,5,2,7,1,,,,,,,,,,,5.5,2.5
82, A woman disciplines a kid hiding in the closet.,7,2,4,2,6,2,7,1,,,,,,,,,,,6,1.75
83, There a group of men who seem to be holding someone up in a car.,6,2,5,2,5,2,4,2,,,,,,,,,,,5,2
84, Would like to meet these men they seem wholesome and friendly I feel relaxed.,2,2,6,2,2,2,3,1,,,,,,,,,,,3.25,1.75
85, He seems like he's got a lot on his mind.,1,2,3,2,2,2,1,1,,,,,,,,,,,1.75,1.75
86, someone's hand is extremely mutilated.,7,2,7,2,5,2,7,1,,,,,,,,,,,6.5,1.75
87,"San Francisco, Oakland, and Somerville, Massachusetts, recently became the first cities in the country to ban the technology.",7,2,6,2,7,2,7,2,,,,,,,,,,,6.75,2
88, Seems quiet like no one's bothering her.,4,2,5,1,2,1,3,1,,,,,,,,,,,3.5,1.25
89,A neonate hooked up to tubes.,7,1,6,1,6,1,7,1,,,,,,,,,,,6.5,1
90, I like the film aesthetic .,1,1,2,4,2,1,1,1,,,,,,,,,,,1.5,1.75
91, If it is not fake this person has gone through a serious injury.,2,2,1,4,3,2,2,1,,,,,,,,,,,2,2.25
92,"I’ve been blogging for two years on this blog and let me tell you, starting a mom blog was the best decision I ever made.",3,6,2,6,1,6,1,6,,,,,,,,,,,1.75,6
93, This is a picture of a hand holding a revolver.,7,3,7,3,7,3,7,1,,,,,,,,,,,7,2.5
94,This guy looks really tired and maybe a bit upset because the picture gives off a depressing vibe.,3,1,5,1,1,2,2,1,,,,,,,,,,,2.75,1.25
95, very happy that this boy has clothes on him and is resting/not crying in a beautiful day in fall.,4,3,2,3,2,2,1,3,,,,,,,,,,,2.25,2.75
96,"An old photograph of someone who has suffered a very deep cut on their face, spanning from the forehead to the jaw.",7,4,7,3,6,4,7,4,,,,,,,,,,,6.75,3.75
97, Her posture makes her seem calm and she seems to be.,2,1,3,1,3,2,3,1,,,,,,,,,,,2.75,1.25
98, this is a posed photo of two men in a city and one man is trying to threaten the other one who looks vaguely uncomfortable .,3,3,2,2,3,3,1,1,,,,,,,,,,,2.25,2.25
99, The man is looking at the camera while the woman is looking at the man.,7,4,7,3,7,3,7,1,,,,,,,,,,,7,2.75
100, this is really unpleasant the body looks really mangled and gross.,2,1,2,2,2,2,1,1,,,,,,,,,,,1.75,1.5
101, the one guy is threatening the other guy and holding his shirt.,5,1,5,1,5,2,7,1,,,,,,,,,,,5.5,1.25
102, Half his face is missing and bloodied.,7,1,7,2,7,1,7,1,,,,,,,,,,,7,1.25
103," A man looking over, neutral expression.",6,1,6,2,6,2,6,1,,,,,,,,,,,6,1.5
104, It is a gruesome image and it makes me feel scared.,4,2,5,2,1,1,1,1,,,,,,,,,,,2.75,1.5
105,there is a dead woman with a bloody face her nose is specifically the most bloody part .,7,1,1,1,7,1,5,1,,,,,,,,,,,5,1
106," This is a group of people dead, bruised and bleeding.",7,2,3,2,7,1,7,1,,,,,,,,,,,6,1.5
107," That hand is really mangled, that looks incredibly painful.",5,1,6,2,3,1,2,1,,,,,,,,,,,4,1.25
108,An image of a baby in some kind of incubator.,7,3,2,3,7,3,5,1,,,,,,,,,,,5.25,2.5
109, A dead man with his throat slashed and possible chest injuries.,7,1,6,1,6,1,7,1,,,,,,,,,,,6.5,1
110, No one else is in the photo though and there's no imagery of someone being harmed.,5,1,3,1,6,1,5,1,,,,,,,,,,,4.75,1
111, the car door is open.,7,1,6,1,7,1,7,1,,,,,,,,,,,6.75,1
112," She has somewhat disfigured body features, like she does not have breasts.",7,1,7,2,5,2,5,1,,,,,,,,,,,6,1.5
113,On Saturdays she stays in and prepares all her photos for the week ahead of time.,7,3,2,3,7,3,7,3,,,,,,,,,,,5.75,3
114, It is propped up on its elbows and smiling for the camera.,7,2,6,2,6,2,7,1,,,,,,,,,,,6.5,1.75
115," One man is in a beige suit, and the other is in a dark suit.",7,1,4,2,7,1,7,1,,,,,,,,,,,6.25,1.25
116," Very burned, the exposed flesh and ash juxtaposition is scar.",7,1,6,2,3,2,2,1,,,,,,,,,,,4.5,1.5
117, she has glasses and short blonde hair.,7,2,2,3,7,1,7,1,,,,,,,,,,,5.75,1.75
118," The man is pointing his gun towards the lady, who is obviously .",6,3,6,3,6,2,6,1,,,,,,,,,,,6,2.25
119, a man had duct tape around his head.,7,5,7,5,7,5,7,5,,,,,,,,,,,7,5
120, There was a white man wearing a red shirt choking a young woman who did not seem to be enjoying at all .,6,7,5,7,2,7,3,7,,,,,,,,,,,4,7
121, Man left side of face is completely gone.,7,1,2,1,6,1,6,1,,,,,,,,,,,5.25,1
122," There are a bunch of people, mostly firemen, surrounding a car that has just crashed into a tree.",7,3,6,2,4,2,7,1,,,,,,,,,,,6,2
123, This is a very disturbing image.,1,3,1,2,2,3,1,1,,,,,,,,,,,1.25,2.25
124," His finger was on the trigger, ready to fire.",6,6,2,6,6,6,7,6,,,,,,,,,,,5.25,6
125, also could be gooby from meet the robinsons lol I'm a fan of this dude.,5,4,3,5,1,2,1,1,,,,,,,,,,,2.5,3
126, I love to see a child reading and she already has better fashion than me.,1,4,2,4,2,2,1,1,,,,,,,,,,,1.5,2.75
127, I don't really feel anything to this because I don't know what she's doing.,4,1,1,4,1,1,1,1,,,,,,,,,,,1.75,1.75
128,“’It’s the very first time in Belgium that a [mass movement was] started by two women and not about feminist rights.’,7,7,2,7,7,7,3,7,,,,,,,,,,,4.75,7
129," She seems to be wearing lipstick, and has bangs covering her face.",7,2,3,5,3,2,4,1,,,,,,,,,,,4.25,2.5
130,"He is wearing sunglasses, and a backwards cap who is pointing the gun at a black dude in a car.",7,3,7,4,7,2,7,1,,,,,,,,,,,7,2.5
131," The thief is caught in the middle of his robbery, shocked.",5,2,5,3,4,4,7,1,,,,,,,,,,,5.25,2.5
132, a man in a cowboy hat once was playing a guitar a long time ago.,7,7,6,7,6,7,7,7,,,,,,,,,,,6.5,7
133, the baby has really dark sweet eyes.,5,1,5,7,2,3,2,1,,,,,,,,,,,3.5,3
134,Whatever it takes.,2,1,2,1,3,1,3,1,,,,,,,,,,,2.5,1
135,That’s how I made my way into this niche where there was no one else.,7,6,4,7,2,7,1,7,,,,,,,,,,,3.5,6.75
136, A girl and a boy are holding hands and walking along a beach path to their home.,7,2,4,2,6,2,7,1,,,,,,,,,,,6,1.75
137,"They do not argue with propositions; they argue with good looks, celebrities and commercials.",4,3,6,4,3,3,6,1,,,,,,,,,,,4.75,2.75
138," A baby is lying face down on a pillow, but his arms are pressing him up so he can smile at the camera.",7,3,1,2,5,2,4,1,,,,,,,,,,,4.25,2
139, his expression is emotionless .,1,1,5,1,3,1,3,1,,,,,,,,,,,3,1
140, Someone who had surgery and been beaten up.,7,5,3,5,6,5,7,5,,,,,,,,,,,5.75,5
141,"(Microsoft's CEO was once asked, in a technical interview, what he would do if he saw a baby lying in an intersection:",7,7,7,7,7,7,7,7,,,,,,,,,,,7,7
142, An image of a young girl crying for some reason.,7,2,4,2,3,2,4,2,,,,,,,,,,,4.5,2
143, she was holding a cigarette far away from here.,7,7,3,7,5,6,6,7,,,,,,,,,,,5.25,6.75
144, The old man is not eating good food.,4,1,6,7,4,2,1,1,,,,,,,,,,,3.75,2.75
145,"“On a par with any you may find in Chicago, New York, or London,” she adds.",3,7,3,7,3,7,4,7,,,,,,,,,,,3.25,7
146, he is afraid to make eye contact.,6,2,3,5,3,1,5,1,,,,,,,,,,,4.25,2.25
147, The baby is chubby.,7,1,2,1,4,1,7,1,,,,,,,,,,,5,1
148, This is a regular picture of a young man.,5,3,3,4,4,1,3,1,,,,,,,,,,,3.75,2.25
149," a man is wearing a suit, he is looking at something and seems confused.",5,2,2,2,2,2,3,1,,,,,,,,,,,3,1.75
150, He looks sad.,3,1,3,1,3,1,1,1,,,,,,,,,,,2.5,1
151, the man in white is cowering.,7,1,2,1,3,1,7,1,,,,,,,,,,,4.75,1
152, I hope he survives.,1,1,3,2,2,2,1,1,,,,,,,,,,,1.75,1.5
153,  he is being held in a towel by someone.,7,2,1,4,5,2,7,1,,,,,,,,,,,5,2.25
154,"When the protests drew tens of thousands, Van der Heyden said, she was stunned to see as many boys as girls in the crowds, “and yet no one ever challenged the leadership of the female organizers.",7,7,5,7,3,7,3,7,,,,,,,,,,,4.5,7
155, There is also a chalkboard and a map behind .,7,1,2,4,7,1,7,1,,,,,,,,,,,5.75,1.75
156, An image of a man holding a gun while wearing sunglasses in a place far from here and many years ago.,7,7,6,7,6,7,7,7,,,,,,,,,,,6.5,7
157, A person is under emergency care.,7,2,5,2,6,1,7,1,,,,,,,,,,,6.25,1.5
158, Her face looks angry.,1,1,5,2,3,1,3,1,,,,,,,,,,,3,1.25
159, I feel neutral looking at this.,1,1,3,3,1,1,1,1,,,,,,,,,,,1.5,1.5
160,"There is a blonde lady sitting, posing for a photo with the ocean in the background, she has a denim shirt.",7,2,2,2,7,3,7,1,,,,,,,,,,,5.75,2
161, its cute and doesn't have teeth yet.,4,1,6,2,3,2,2,1,,,,,,,,,,,3.75,1.5
162, in that other bedroom there was blood splattered over the wall and the pillow.,7,7,3,7,7,7,7,7,,,,,,,,,,,6,7
163, There seems to be a dead body.,7,1,5,3,4,2,3,1,,,,,,,,,,,4.75,1.75
164, There were fire fighters at the scene and the car was pretty badly damaged as it had hit a pole.,7,6,5,6,4,6,7,6,,,,,,,,,,,5.75,6
165, His left hand is on his hip.,7,1,4,4,7,1,7,1,,,,,,,,,,,6.25,1.75
166, A woman has bruises on her face and it looks like she was punched in the eye and her eye is red as well.,7,6,6,6,3,6,5,6,,,,,,,,,,,5.25,6
167, Boy staring up in fear.,3,2,5,5,3,1,7,1,,,,,,,,,,,4.5,2.25
168,Every second that they waste is a second that the Patriots don’t have to advance.,7,2,3,2,4,2,1,2,,,,,,,,,,,3.75,2
169, A man has just hit a woman with blonde hair.,7,1,2,1,7,1,7,1,,,,,,,,,,,5.75,1
170, Maybe a wedding? Reminds me of family portraits.,5,2,6,2,3,3,1,1,,,,,,,,,,,3.75,2
171,"The high earners at the top of the pile serve as motivation to newbies, and a big part of what they sell isn’t a physical product at all, but the promise of independent wealth and success, whether it comes from selling yoga leggings or teaching yoga classes.",3,1,1,3,5,3,3,1,,,,,,,,,,,3,2
172, Is the emotion rage or grief or shock.,1,2,2,2,1,2,1,1,,,,,,,,,,,1.25,1.75
173,"But when heterosexual men say they’re looking for something “drama-free,” I suspect they want something that doesn’t exist: a problem-free partnership with someone who has no life experience.",7,3,2,3,2,3,1,1,,,,,,,,,,,3,2.5
174, A mother or woman is scolding a kid who appears to be sitting in a closet.,7,3,1,2,5,2,3,1,,,,,,,,,,,4,2
175,A smiling man with a big mustache  .,7,1,4,2,6,2,7,1,,,,,,,,,,,6,1.5
176, The area around them is destroyed.,7,2,4,2,5,1,7,1,,,,,,,,,,,5.75,1.5
177, Cute baby crawling on a throw pillow.,5,1,4,2,3,1,4,1,,,,,,,,,,,4,1.25
178," this lady is screaming in the back with her hands up, while her man is looking moody at the front with his arms crossed.",5,1,5,2,2,2,3,1,,,,,,,,,,,3.75,1.5
179,A mother is holding a chubby baby's hand and he is looking up.,7,2,5,2,5,3,6,1,,,,,,,,,,,5.75,2
180, a person has a hole where the nose should be and is missing an eye.,7,2,6,2,7,1,7,1,,,,,,,,,,,6.75,1.5
181, He has a neutral face and is wearing black.,4,1,3,2,5,1,6,1,,,,,,,,,,,4.5,1.25
182, Not a whole lot of feeling.,2,1,3,2,3,2,3,1,,,,,,,,,,,2.75,1.5
183,"I was coaching [another blogger], and they were more professional, clinical, and I started teaching them — ‘Okay, share more of your personality.",7,7,4,7,2,7,1,7,,,,,,,,,,,3.5,7
184, More burn victim stuff.,7,2,4,2,5,1,3,1,,,,,,,,,,,4.75,1.5
185, The signs are in a language I don't recognize.,7,1,4,1,4,1,4,1,,,,,,,,,,,4.75,1
186," happened else where, gang behavior, the guy looks scared.",4,6,3,5,3,5,7,5,,,,,,,,,,,4.25,5.25
187, They are both wearing white and he looks very content and so does the child.,7,3,2,2,3,2,2,1,,,,,,,,,,,3.5,2
188, It looks incredibly painful.,3,2,2,2,3,2,1,1,,,,,,,,,,,2.25,1.75
189, A girl sits at a desk and reads a book.,7,2,2,2,7,1,7,1,,,,,,,,,,,5.75,1.5
190,"In it, Rosen revealed for the first time the extent of the losses to music history that occurred during a fire at Universal Studios in 2008 that burned the masters of many important musical works.",7,2,7,2,6,2,4,4,,,,,,,,,,,6,2.5
191, He has blue eyes and is wearing a white button down and a blue/grey jacket.,7,1,7,1,7,1,7,1,,,,,,,,,,,7,1
192, You can see the person's lungs and heart and their stomach.,7,1,7,1,7,1,7,1,,,,,,,,,,,7,1
193, Just a child laying down in the grass.,7,2,5,2,4,2,5,1,,,,,,,,,,,5.25,1.75
194, a really disturbing picture of something wrong with a lady's breast.,5,2,6,5,2,3,2,1,,,,,,,,,,,3.75,2.75
195, Her attention is engaged on something that is not within view.,7,3,7,3,7,3,7,1,,,,,,,,,,,7,2.5
196," Somewhere in the world, someplace in time, a masked man brandishes a knife.",7,2,7,2,7,4,7,2,,,,,,,,,,,7,2.5
197, He is wearing a beige tee.,7,1,7,1,7,1,7,1,,,,,,,,,,,7,1
198, Looks like it is from the 90's or possibly early 2000's based on the telephone.,3,3,3,3,3,3,3,3,,,,,,,,,,,3,3
199, he has a cold stare on his face and a slight scowl.,5,1,4,3,5,2,5,1,,,,,,,,,,,4.75,1.75
200," This is an image of a smiling, young baby.",7,3,7,3,7,4,5,1,,,,,,,,,,,6.5,2.75
201, An old man is standing in a kitchen area next to a fridge.,7,2,6,3,6,3,7,2,,,,,,,,,,,6.5,2.5
202,A baby is crawling through dead leaves.,7,1,6,2,6,2,7,1,,,,,,,,,,,6.5,1.5
203, There is a guy behind him also upset because his mouth.,4,2,6,3,4,3,2,1,,,,,,,,,,,4,2.25
204, The baby was in a hospital-like environment.,7,6,3,6,6,6,4,6,,,,,,,,,,,5,6
205," Also, reading is good and getting learnt is awesome.",3,1,3,2,3,2,3,1,,,,,,,,,,,3,1.5
206," Decades ago and in a country far away, a person held a gun threateningly at something.",4,7,6,7,6,7,7,7,,,,,,,,,,,5.75,7
207, the window looks frosted over somehow.,7,4,5,4,4,4,3,4,,,,,,,,,,,4.75,4
208, A man is putting a gun against a woman's cheek.,7,2,3,3,7,2,7,1,,,,,,,,,,,6,2
209,Cammie L: Thoughts are not the enemy!,2,2,6,1,2,3,1,1,,,,,,,,,,,2.75,1.75
210," There is a body corpse lying down on a yellow tarp, with his/her belongings.",7,2,2,3,6,2,7,2,,,,,,,,,,,5.5,2.25
211," He is holding a guitar, wearing a plaid red shirt.",7,1,5,3,7,1,7,1,,,,,,,,,,,6.5,1.5
212, the hand is bloody and is missing fingers.,7,1,5,2,7,2,7,1,,,,,,,,,,,6.5,1.5
213," While it is pretty staged, it makes me feel bad as it reminds me of memories I try to forget.",3,3,5,3,1,3,1,1,,,,,,,,,,,2.5,2.5
214,"Another dead person, or maybe still slightly alive.",7,1,3,3,4,3,4,1,,,,,,,,,,,4.5,2
215, She might be a brownie.,4,2,4,2,3,1,2,1,,,,,,,,,,,3.25,1.5
216,"A woman's face is completely smeared with blood, except her eye area is clean.",7,2,7,2,7,1,7,1,,,,,,,,,,,7,1.5
217,And the same thing the other way around...,2,2,3,2,2,3,2,1,,,,,,,,,,,2.25,2
218," It's a little shocking, but not entirely disturbing.",2,1,3,2,2,2,2,1,,,,,,,,,,,2.25,1.5
219, The chef holding the baby looks so happy and the baby looks adorable in their little bonnet.,7,2,3,2,2,2,1,1,,,,,,,,,,,3.25,1.75
220, Someone murdered him.,7,2,6,2,6,2,7,1,,,,,,,,,,,6.5,1.75
221, someone is point at another person's head using his gun.,7,2,7,2,6,3,7,1,,,,,,,,,,,6.75,2
222, It is a nice image of the two boys intent.,2,1,2,2,3,2,2,1,,,,,,,,,,,2.25,1.5
223,Bilal first heard about the promise of affiliate marketing blogging on Pinterest.,7,4,7,4,7,4,7,4,,,,,,,,,,,7,4
224,"In an image-centered and pleasure-driven world, Postman noted, there is no place for rational thinking, because you simply cannot think with images.",3,5,3,5,3,5,3,5,,,,,,,,,,,3,5
225, I do not think that a lot is going on in this picture.,3,3,2,3,2,3,1,1,,,,,,,,,,,2,2.5
226, A girl has a very bloodied and cut up face and looks severely mutilated.,7,2,5,3,5,2,7,3,,,,,,,,,,,6,2.5
227,"She also expressed concern that the numbers are higher, at least on OkCupid, the younger the men get.",7,4,2,4,5,3,4,4,,,,,,,,,,,4.5,3.75
228, It is propped up on its elbows.,7,1,4,1,7,1,7,1,,,,,,,,,,,6.25,1
229," The picture is fairly unclear but I can make out a hand, an arm and what looks to be a body.",4,3,5,3,4,4,4,3,,,,,,,,,,,4.25,3.25
230," A man is slicing a woman's throat, scary, killing silently.",4,2,4,2,4,3,4,1,,,,,,,,,,,4,2
231, there is a crowd behind him.,7,1,7,1,7,1,7,1,,,,,,,,,,,7,1
232, Some surgeons stand over an operating table with tools in their hands.,7,1,7,1,7,1,7,1,,,,,,,,,,,7,1
233, I am not so sure what he is thinking.,2,1,2,1,2,1,1,1,,,,,,,,,,,1.75,1
234, There is a mans face that is badly disfigured.,7,2,2,3,4,3,7,1,,,,,,,,,,,5,2.25
235, There is a white truck in focus.,7,2,7,2,6,2,7,1,,,,,,,,,,,6.75,1.75
236, There is a baby that has been very badly injured and is hopefully receiving medical attention .,5,2,5,2,3,2,5,1,,,,,,,,,,,4.5,1.75
237, A woman is showing a scar on her hip area.,7,1,7,1,7,1,7,1,,,,,,,,,,,7,1
238,The literal physical destruction of film stock for its more-valued component parts feels like a fitting metaphor for the general willingness to let cultural heritage dissolve into the ether.,3,3,5,2,2,2,1,1,,,,,,,,,,,2.75,2
